Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-260b.2,Description of policies and practices to prevent prescription dispensing errors,0,0.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-260b.3,Total amount of monetary losses as a result of legal proceedings associated with prescription dispensing errors,0,1.0,1.0
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-240a.1,Discussion of strategy to manage the mix of patient insurance status,0,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-240a.2,Amount of Medicare Disproportionate Share Hospital (DSH) adjustment payments received,0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-450a.1,"Description of policies and practices to address: (1) the physical risks due to an increased frequency and intensity of extreme weather events and (2) changes in the morbidity and mortality rates of illnesses and diseases, associated with climate change",1,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-450a.2,Percentage of health care facilities that comply with the Centers for Medicare and Medicaid Services (CMS) Emergency Preparedness Rule,0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-320a.1,"(1) Total recordable incident rate (TRIR) and (2) days away, restricted, or transferred (DART) rate",1,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-330a.1,"(1) Voluntary and (2) involuntary turnover rate for: (a) physicians, (b) non-physician health care practitioners, and (c) all other employees",1,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-330a.2,Description of talent recruitment and retention efforts for health care practitioners,1,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",1,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-510a.1,Total amount of monetary losses as a result of legal proceedings associated with Medicare and Medicaid fraud under the False Claims Act,0,1.0,1.0
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-260a.1,Description of policies and practices to manage the number of prescriptions issued for controlled substances,1,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-260a.2,Percentage of controlled substance prescriptions written for which a prescription drug monitoring program (PDMP) database was queried,0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-230a.1,"Percentage of patient records that are Electronic Health Records (EHR) that meet ""meaningful use"" requirements",0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-230a.2,Description of policies and practices to secure customers’ protected health information (PHI) records and other personally identifiable information (PII),1,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-230a.3,"(1) Number of data breaches, (2) percentage involving (a) personally identifiable information (PII) only and (b) protected health information (PHI), (3) number of customers affected in each category, (a) PII only and (b) PHI",0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-230a.4,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy,0,1.0,1.0
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-270a.1,Description of policies or initiatives to ensure that patients are adequately informed about price before undergoing a procedure,1,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-270a.2,Discussion of how pricing information for services is made publicly available,1,0.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-270a.3,"Number of the entity’s 25 most common services for which pricing information is publicly available, percentage of total services performed (by volume) that these represent",0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-250a.1,"Average Hospital Value-Based Purchasing Total Performance Score and domain score, across all facilities",0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-250a.2,Number of Serious Reportable Events (SREs) as defined by the National Quality Forum (NQF),0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-250a.3,Hospital-Acquired Condition (HAC) Score per hospital,0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-250a.4,Excess readmission ratio per hospital,0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-250a.5,Magnitude of readmissions payment adjustment as part of the Hospital Readmissions Reduction Program (HRRP),0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-150a.1,"Total amount of medical waste, percentage (a) incinerated, (b) recycled or treated, and (c) landfilled",0,1.0,
208.0,CVS Health Corp,HEALTH CARE DELIVERY,HC-DY-150a.2,"Total amount of: (1) hazardous and (2) non-hazardous pharmaceutical waste, percentage (a) incinerated, (b) recycled or treated, and (c) landfilled",1,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-240a.1,Medical Loss Ratio (MLR),0,1.0,
