PERMNO,date,NAMEENDT,NCUSIP,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19285,8/18/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.37,30.05,29.46,29.44,29.46,29.72
19285,8/19/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.12,29.69,29.25,29.25,29.26,29.54
19285,8/20/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.75,29.41,29.01,29.01,29.02,29.02
19285,8/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.085,29.82,29.52,29.52,29.53,29.16
19285,8/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.74,30.44,30.38,30.38,30.39,29.76
19285,8/25/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.41,30.805,30.47,30.47,30.48,30.5
19285,8/26/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.41,31.24,31.03,31.03,31.04,30.51
19285,8/27/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.16,31.24,30.28,30.28,30.29,31.07
19285,8/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.955,30.475,30.3,30.3,30.31,30.38
19285,8/31/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.83,30.46,29.85,29.84,29.85,30.19
19285,9/1/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.17,30.36,30.3,30.3,30.31,29.66
19285,9/2/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.84,30.95,30.78,30.76,30.78,30.22
19285,9/3/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.96,30.69,29.33,29.33,29.34,30.5
19285,9/4/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.83,30.095,30,29.99,30,29.43
19285,9/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.2,30.25,29.57,29.58,29.59,29.35
19285,9/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.55,30.345,30.13,30.12,30.13,29.93
19285,9/10/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.58,30.01,29.14,29.13,29.14,29.9
19285,9/11/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.01,29.645,29.24,29.24,29.25,29.17
19285,9/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.8297,29.44,29.15,29.14,29.15,29.4
19285,9/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.3013,30.04,29.69,29.68,29.69,29.48
19285,9/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.525,30.535,30.25,30.25,30.26,30.16
19285,9/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.37,30.695,30.66,30.65,30.66,29.77
19285,9/18/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.5,31.2,30.79,30.78,30.79,30.5
19285,9/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.22,30.77,29.51,29.51,29.52,30.29
19285,9/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.49,30.33,30.26,30.26,30.27,29.51
19285,9/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.1,30.42,29.11,29.11,29.12,30.4
19285,9/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.79,29.97,29.88,29.88,29.89,29.12
19285,9/25/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.35,30.5,30.49,30.49,30.5,29.4
19285,9/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.43,31.56,30.74,30.74,30.75,30.75
19285,9/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.08,30.69,30.5,30.5,30.51,30.51
19285,9/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.35,31.24,30.54,30.53,30.54,30.61
19285,10/1/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.55,31.06,30.77,30.77,30.78,30.72
19285,10/2/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,30.26,31.52,31.23,31.23,31.24,30.34
19285,10/5/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,31.64,32.47,32.08,32.07,32.08,31.64
19285,10/6/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,31.45,32.39,31.51,31.51,31.52,32.34
19285,10/7/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,31.89,32.29,32.12,32.11,32.12,31.93
19285,10/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,31.63,32.4665,31.95,31.94,31.95,32.31
19285,10/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,31.71,32.55,32.23,32.22,32.23,31.91
19285,10/12/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.2,33.16,33,33,33.01,32.59
19285,10/13/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.04,33.47,32.49,32.48,32.49,33.3
19285,10/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.43,33.05,32.51,32.51,32.52,32.68
19285,10/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.01,32.66,32.6,32.6,32.61,32.09
19285,10/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.42,33.27,32.76,32.75,32.76,32.92
19285,10/19/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.07,33,32.32,32.33,32.34,32.8
19285,10/20/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.35,33.8,33.23,33.23,33.24,32.45
19285,10/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.9,33.44,33.35,33.35,33.36,33.06
19285,10/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,33.15,34.13,33.89,33.9,33.91,33.15
19285,10/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,33.86,34.96,34.93,34.92,34.94,33.9
19285,10/26/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,33.27,34.45,33.71,33.7,33.71,34.45
19285,10/27/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,33.11,33.94,33.6,33.6,33.61,33.83
19285,10/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.76,33.76,33.3,33.34,33.35,32.93
19285,10/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,32.93,34.78,34.07,34.08,34.09,33.79
19285,10/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,33,34.88,33.39,33.37,33.38,33.97
19285,11/2/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,33.87,35.13,35.1,35.1,35.13,34
19285,11/3/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,35.43,37.01,36.95,36.94,36.95,35.45
19285,11/4/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,35.5,37.4,36.78,36.78,36.79,35.63
19285,11/5/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.38,38.3,38.2,38.2,38.23,37.51
19285,11/6/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.145,39.03,38.95,38.94,38.95,38.53
19285,11/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.68,41.3,38.8,38.8,38.82,40.74
19285,11/10/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.58,39.35,37.81,37.81,37.82,39.03
19285,11/11/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.89,38.73,38.06,38.06,38.07,38.49
